tienda,total,con_precio,con_tipo,con_pais,completitud_%
Amazon,60,60,60,60,100.0
Costco,94,94,94,94,100.0
La Europea,78,78,78,78,100.0
Soriana,93,93,93,93,100.0
Vinoteca,8,8,8,8,100.0
HEB,12,4,12,12,33.33
