tienda,nombre,precio_actual,precio_anterior,descuento_porcentaje,tamaño_botella,tipo_vino,pais_origen,region_origen,uva_varietal,url_producto,fecha_scraping,tiene_descuento,ml_botella,precio_por_ml,segmento_precio,calidad_datos
Amazon,CALIFORNIA,51.0,0.05,40.0,946 ML,Tinto,No especificado,No especificado,No especificado,https://www.amazon.com.mx/VINO-TINTO-CALIFORNIA-946-ML/dp/B0CS7LZXVM/ref=sr_1_16?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zGmJIo0iB9IUA2xIr0wc4A7dNKbT-YOCmkBYcCtPfUKPzg5M_DH6SDTLIyf1-O3zrf16fy6ZsZI81XmAV3h5KDJQZ_2K9TsYo0m2L5lFFvU1kg1bzaT0vr_5F9-8fwtBRS75jFF4ZUll1M_L1fcc2eBcH7FqXGRsy2j3-oQDvAtJvFpUcNTzOMD_FhQ0K50j65zDTojdzyaU4Uy_Kt6TelSH_swigY4_kGgrkKTSmfUGBR1FDK60zLiWxgoC___1cdjzOSgDCKIGEnK4VtF0Tqo.Hl7a2R1sl0nV4X9v0CuQeaHZezh_JhGYvWKLIq5BcMg&dib_tag=se&keywords=vino&qid=1761895256&sr=8-16,2025-10-31 01:21:17,True,946.0,0.0539,Económico,parcial
Amazon,Santa Rita Tres Medallas,73.0,0.1,39.0,750 ML,Tinto,No especificado,"Valle Central, Chile",Merlot,https://www.amazon.com.mx/Tinto-Santa-Rita-Medallas-Merlot/dp/B09BHFRH23/ref=sr_1_13?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zGmJIo0iB9IUA2xIr0wc4A7dNKbT-YOCmkBYcCtPfUKPzg5M_DH6SDTLIyf1-O3zrf16fy6ZsZI81XmAV3h5KDJQZ_2K9TsYo0m2L5lFFvU1kg1bzaT0vr_5F9-8fwtBRS75jFF4ZUll1M_L1fcc2eBcH7FqXGRsy2j3-oQDvAtJvFpUcNTzOMD_FhQ0K50j65zDTojdzyaU4Uy_Kt6TelSH_swigY4_kGgrkKTSmfUGBR1FDK60zLiWxgoC___1cdjzOSgDCKIGEnK4VtF0Tqo.Hl7a2R1sl0nV4X9v0CuQeaHZezh_JhGYvWKLIq5BcMg&dib_tag=se&keywords=vino&qid=1761895256&sr=8-13,2025-10-31 01:21:15,True,750.0,0.0973,Económico,parcial
Amazon,Santa Rita Tres Medallas,73.0,73.0,39.0,750 ML,Tinto,No especificado,América del Sur,Cabernet Sauvignon,https://www.amazon.com.mx/Santa-Rita-Medallas-Cabernet-Sauvignon/dp/B09B8M5Z6X/ref=sr_1_31?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zGmJIo0iB9IUA2xIr0wc4A7dNKbT-YOCmkBYcCtPfUKPzg5M_DH6SDTLIyf1-O3zrf16fy6ZsZI81XmAV3h5KDJQZ_2K9TsYo0m2L5lFFvU1kg1bzaT0vr_5F9-8fwtBRS75jFF4ZUll1M_L1fcc2eBcH7FqXGRsy2j3-oQDvAtJvFpUcNTzOMD_FhQ0K50j65zDTojdzyaU4Uy_Kt6TelSH_swigY4_kGgrkKTSmfUGBR1FDK60zLiWxgoC___1cdjzOSgDCKIGEnK4VtF0Tqo.Hl7a2R1sl0nV4X9v0CuQeaHZezh_JhGYvWKLIq5BcMg&dib_tag=se&keywords=vino&qid=1761895256&sr=8-31,2025-10-31 01:21:31,True,750.0,0.0973,Económico,parcial
Amazon,Gato Negro,77.0,0.1,,750 ML,Blanco,No especificado,No especificado,Chardonnay,https://www.amazon.com.mx/Vino-Blanco-Chardonnay-Gato-Negro/dp/B07G75Q9TL/ref=sr_1_36?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zGmJIo0iB9IUA2xIr0wc4A7dNKbT-YOCmkBYcCtPfUKPzg5M_DH6SDTLIyf1-O3zrf16fy6ZsZI81XmAV3h5KDJQZ_2K9TsYo0m2L5lFFvU1kg1bzaT0vr_5F9-8fwtBRS75jFF4ZUll1M_L1fcc2eBcH7FqXGRsy2j3-oQDvAtJvFpUcNTzOMD_FhQ0K50j65zDTojdzyaU4Uy_Kt6TelSH_swigY4_kGgrkKTSmfUGBR1FDK60zLiWxgoC___1cdjzOSgDCKIGEnK4VtF0Tqo.Hl7a2R1sl0nV4X9v0CuQeaHZezh_JhGYvWKLIq5BcMg&dib_tag=se&keywords=vino&qid=1761895256&sr=8-36,2025-10-31 01:21:34,False,750.0,0.1027,Económico,parcial
Amazon,CUATRO SOLES AFRUTADO SEMIDULCE,83.0,83.0,34.0,750 ML,Tinto,No especificado,No especificado,No especificado,https://www.amazon.com.mx/TINTO-AFRUTADO-SEMIDULCE-CUATRO-SOLES/dp/B0883CTW1L/ref=sr_1_12?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zGmJIo0iB9IUA2xIr0wc4A7dNKbT-YOCmkBYcCtPfUKPzg5M_DH6SDTLIyf1-O3zrf16fy6ZsZI81XmAV3h5KDJQZ_2K9TsYo0m2L5lFFvU1kg1bzaT0vr_5F9-8fwtBRS75jFF4ZUll1M_L1fcc2eBcH7FqXGRsy2j3-oQDvAtJvFpUcNTzOMD_FhQ0K50j65zDTojdzyaU4Uy_Kt6TelSH_swigY4_kGgrkKTSmfUGBR1FDK60zLiWxgoC___1cdjzOSgDCKIGEnK4VtF0Tqo.Hl7a2R1sl0nV4X9v0CuQeaHZezh_JhGYvWKLIq5BcMg&dib_tag=se&keywords=vino&qid=1761895256&sr=8-12,2025-10-31 01:21:17,True,750.0,0.1107,Económico,parcial
Amazon,Knock Knock Red Blend,89.25,0.12,25.0,750 ML,No especificado,No especificado,España,No especificado,https://www.amazon.com.mx/Knock-Red-Blend-750/dp/B0DGRM87RT/ref=sr_1_17?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zGmJIo0iB9IUA2xIr0wc4A7dNKbT-YOCmkBYcCtPfUKPzg5M_DH6SDTLIyf1-O3zrf16fy6ZsZI81XmAV3h5KDJQZ_2K9TsYo0m2L5lFFvU1kg1bzaT0vr_5F9-8fwtBRS75jFF4ZUll1M_L1fcc2eBcH7FqXGRsy2j3-oQDvAtJvFpUcNTzOMD_FhQ0K50j65zDTojdzyaU4Uy_Kt6TelSH_swigY4_kGgrkKTSmfUGBR1FDK60zLiWxgoC___1cdjzOSgDCKIGEnK4VtF0Tqo.Hl7a2R1sl0nV4X9v0CuQeaHZezh_JhGYvWKLIq5BcMg&dib_tag=se&keywords=vino&qid=1761895256&sr=8-17,2025-10-31 01:21:19,True,750.0,0.119,Económico,parcial
Amazon,CUATRO SOLES,96.0,0.13,38.0,750 ML,Tinto,No especificado,AMERIICA CENTRAL,Cabernet Sauvignon,https://www.amazon.com.mx/TINTO-CUATRO-SOLES-CABERNET-SAUVIGNON/dp/B0872KXHCK/ref=sr_1_29?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zGmJIo0iB9IUA2xIr0wc4A7dNKbT-YOCmkBYcCtPfUKPzg5M_DH6SDTLIyf1-O3zrf16fy6ZsZI81XmAV3h5KDJQZ_2K9TsYo0m2L5lFFvU1kg1bzaT0vr_5F9-8fwtBRS75jFF4ZUll1M_L1fcc2eBcH7FqXGRsy2j3-oQDvAtJvFpUcNTzOMD_FhQ0K50j65zDTojdzyaU4Uy_Kt6TelSH_swigY4_kGgrkKTSmfUGBR1FDK60zLiWxgoC___1cdjzOSgDCKIGEnK4VtF0Tqo.Hl7a2R1sl0nV4X9v0CuQeaHZezh_JhGYvWKLIq5BcMg&dib_tag=se&keywords=vino&qid=1761895256&sr=8-29,2025-10-31 01:21:28,True,750.0,0.128,Económico,parcial
Amazon,Cuatro Soles,96.0,0.13,38.0,750 ML,Tinto,No especificado,No especificado,Merlot,https://www.amazon.com.mx/Vino-Tinto-Cuatro-Soles-Merlot/dp/B07G2WRBX8/ref=sr_1_41?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zGmJIo0iB9IUA2xIr0wc4A7dNKbT-YOCmkBYcCtPfUKPzg5M_DH6SDTLIyf1-O3zrf16fy6ZsZI81XmAV3h5KDJQZ_2K9TsYo0m2L5lFFvU1kg1bzaT0vr_5F9-8fwtBRS75jFF4ZUll1M_L1fcc2eBcH7FqXGRsy2j3-oQDvAtJvFpUcNTzOMD_FhQ0K50j65zDTojdzyaU4Uy_Kt6TelSH_swigY4_kGgrkKTSmfUGBR1FDK60zLiWxgoC___1cdjzOSgDCKIGEnK4VtF0Tqo.Hl7a2R1sl0nV4X9v0CuQeaHZezh_JhGYvWKLIq5BcMg&dib_tag=se&keywords=vino&qid=1761895256&sr=8-41,2025-10-31 01:21:37,True,750.0,0.128,Económico,parcial
Amazon,LAS MORAS,103.0,0.14,31.0,750 ML,Tinto,No especificado,No especificado,Malbec,https://www.amazon.com.mx/VINO-TINTO-LAS-MORAS-MALBEC/dp/B09122PFC3/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zGmJIo0iB9IUA2xIr0wc4A7dNKbT-YOCmkBYcCtPfUKPzg5M_DH6SDTLIyf1-O3zrf16fy6ZsZI81XmAV3h5KDJQZ_2K9TsYo0m2L5lFFvU1kg1bzaT0vr_5F9-8fwtBRS75jFF4ZUll1M_L1fcc2eBcH7FqXGRsy2j3-oQDvAtJvFpUcNTzOMD_FhQ0K50j65zDTojdzyaU4Uy_Kt6TelSH_swigY4_kGgrkKTSmfUGBR1FDK60zLiWxgoC___1cdjzOSgDCKIGEnK4VtF0Tqo.Hl7a2R1sl0nV4X9v0CuQeaHZezh_JhGYvWKLIq5BcMg&dib_tag=se&keywords=vino&qid=1761895256&sr=8-5&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,2025-10-31 01:21:07,True,750.0,0.1373,Económico,parcial
Amazon,Riunite Lambrusco Rosé,103.0,0.14,35.0,750 ML,No especificado,No especificado,"Emilia Romagna, Italia",No especificado,https://www.amazon.com.mx/Vino-Rosado-Riunite-Lambrusco-Ros%C3%A9/dp/B072534JYY/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zGmJIo0iB9IUA2xIr0wc4A7dNKbT-YOCmkBYcCtPfUKPzg5M_DH6SDTLIyf1-O3zrf16fy6ZsZI81XmAV3h5KDJQZ_2K9TsYo0m2L5lFFvU1kg1bzaT0vr_5F9-8fwtBRS75jFF4ZUll1M_L1fcc2eBcH7FqXGRsy2j3-oQDvAtJvFpUcNTzOMD_FhQ0K50j65zDTojdzyaU4Uy_Kt6TelSH_swigY4_kGgrkKTSmfUGBR1FDK60zLiWxgoC___1cdjzOSgDCKIGEnK4VtF0Tqo.Hl7a2R1sl0nV4X9v0CuQeaHZezh_JhGYvWKLIq5BcMg&dib_tag=se&keywords=vino&qid=1761895256&sr=8-7,2025-10-31 01:21:12,True,750.0,0.1373,Económico,parcial
