tienda,nombre,precio_actual,precio_anterior,descuento_porcentaje,tamaño_botella,tipo_vino,pais_origen,region_origen,uva_varietal,url_producto,fecha_scraping,tiene_descuento,ml_botella,precio_por_ml,segmento_precio
La Europea,Viña Arbolitos,1089.0,1815.0,40.0,,Blanco,México,"Valle de Guadalupe, Baja California",Chardonnay 100%,https://www.laeuropea.com.mx/vb-chard-vi-a-cobos-arbolitos-750ml-10000010831.html,2025-10-31 20:37:55,True,,,Premium
La Europea,Icewine Pillitteri Vidal,1116.33,2232.65,50.0,,Blanco,Canadá,Niagara-on-the-Lake,,https://www.laeuropea.com.mx/vb-icewine-pilliteri-vi-l375ml-10000011745.html,2025-10-31 20:37:19,True,,,Premium
La Europea,Finca Villacreces,1129.0,,,,Tinto,España,Ribera Del Duero,,https://www.laeuropea.com.mx/vt-finca-villacreces-750ml-10000008235.html,2025-10-31 20:36:48,False,,,Premium
La Europea,Propiedad,1149.0,,,,Tinto,España,Rioja,,https://www.laeuropea.com.mx/vt-propiedad-750ml-10000011740.html,2025-10-31 20:36:54,False,,,Premium
La Europea,Electo Reserva,1197.84,1996.4,40.0,,Tinto,España,Andalucía,,https://www.laeuropea.com.mx/vt-electo-reserva-750ml-10000010708.html,2025-10-31 20:37:46,True,,,Premium
La Europea,Perseus Nebbiolo Sangiovese el Cielo,1199.0,,,,Tinto,México,Baja California,Ensamble de Nebbiolo y Sangiovese,https://www.laeuropea.com.mx/vt-nebbiolo-sangiovese-perseus-el-750ml-10000007289.html,2025-10-31 20:39:13,False,,,Premium
La Europea,Luc Belaire Brut Fantome,1218.63,,,,Espumoso,Francia,Provenza Alpes Costa Azul,,https://www.laeuropea.com.mx/ve-belaire-brut-fantome-750ml-10000009878.html,2025-10-31 20:38:08,False,,,Premium
La Europea,Syrah Enate,1239.0,,,,Tinto,España,Somontano,"Syrah de Cregenzán, Shiraz de Alcanetos",https://www.laeuropea.com.mx/vt-syrah-shiraz-enate-750ml-10000005857.html,2025-10-31 20:37:14,False,,,Premium
La Europea,Portia Triennia,1289.0,2578.0,50.0,,Tinto,España,Ribera del Duero,,https://www.laeuropea.com.mx/vt-triennia-portia-750ml-10000011197.html,2025-10-31 20:37:51,True,,,Premium
La Europea,Que Bonito Cacareaba,1347.45,2073.0,35.0,,Blanco,España,Somontano,,https://www.laeuropea.com.mx/vb-que-bonito-cacareaba-750ml-10000005841.html,2025-10-31 20:37:25,True,,,Premium
La Europea,Tr3smano,1396.8,1746.0,20.0,,Tinto,España,Ribera del Duero,,https://www.laeuropea.com.mx/vt-tr3smano-750ml-10000014666.html,2025-10-31 20:37:00,True,,,Premium
La Europea,Napa Luis,1408.0,,,750 ML,Tinto,Estados Unidos,California,Cabernet Sauvignon,https://www.laeuropea.com.mx/vt-cabernet-sauvignon-napa-luis-i750ml-10000007991.html,2025-10-31 20:38:41,False,750.0,1.8773,Premium
La Europea,Blue Nun Eiswein,1439.34,,,500 ML,Blanco,Alemania,Rheinhessen,Riesling,https://www.laeuropea.com.mx/vb-eiswein-blue-nun-500ml-10000001582.html,2025-10-31 20:37:07,False,500.0,2.8787,Premium
