tienda,total,con_precio,con_tipo,con_pais,completitud_%
Amazon,60,60,60,60,100.0
HEB,75,75,75,75,100.0
Soriana,173,173,173,173,100.0
La Europea,235,235,235,235,100.0
Vinoteca,36,36,36,36,100.0
Costco,160,157,160,160,98.12
