tienda,nombre,precio_actual,precio_anterior,descuento_porcentaje,tamaño_botella,tipo_vino,pais_origen,region_origen,uva_varietal,url_producto,fecha_scraping,tiene_descuento,ml_botella,precio_por_ml,segmento_precio,calidad_datos
Amazon,LAS MORAS,130.0,0.17,18.0,750 ML,Tinto,No especificado,No especificado,Malbec,https://www.amazon.com.mx/VINO-TINTO-LAS-MORAS-MALBEC/dp/B09122PFC3/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-5&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,2025-10-04 02:36:14,True,750.0,0.1733,Económico,parcial
Amazon,Las Moras,130.0,0.17,21.0,750 ML,Blanco,No especificado,No especificado,Sauvignon Blanc,https://www.amazon.com.mx/Blanco-Sauvignon-Finca-Las-Moras/dp/B00O1TNWH4/ref=sr_1_19?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-19&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,2025-10-04 02:36:30,True,750.0,0.1733,Económico,parcial
Amazon,Santa Rita 120,132.03,0.18,30.0,750 ML,Tinto,No especificado,América del Sur,Cabernet Sauvignon,https://www.amazon.com.mx/Tinto-Santa-Rita-Cabernet-Sauvignon/dp/B09BBSF685/ref=sr_1_43?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-43&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,2025-10-04 02:36:50,True,750.0,0.176,Económico,parcial
Amazon,Viña Carmen Insigne Carmenere,140.32,0.19,50.0,750 ML,Tinto,No especificado,No especificado,No especificado,https://www.amazon.com.mx/Vi%C3%B1a-Carmen-Insigne-Carmenere-Tinto/dp/B01M8JJ80G/ref=sr_1_52?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-52&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,2025-10-04 02:36:58,True,750.0,0.1871,Económico,parcial
Amazon,LAS MORAS DULCE,142.5,0.19,20.0,750 ML,Rosado,No especificado,No especificado,No especificado,https://www.amazon.com.mx/LAS-MORAS-VARIETAL-ROSADO-750ML/dp/B0BL24XJ9K/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-9&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,2025-10-04 02:36:19,True,750.0,0.19,Económico,parcial
Amazon,TRAPICHE VARIETAL,165.0,0.22,21.0,750 ML,Tinto,No especificado,No especificado,Malbec,https://www.amazon.com.mx/VINO-TINTO-TRAPICHE-MALBEC-750/dp/B0911TRH2B/ref=sr_1_13?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-13&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,2025-10-04 02:36:24,True,750.0,0.22,Medio-Bajo,parcial
Amazon,Alma Mora,168.35,0.22,26.0,750 ML,Tinto,No especificado,No especificado,Malbec,https://www.amazon.com.mx/Vino-Tinto-Alma-Mora-Malbec/dp/B00BQX3OCG/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-10&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,2025-10-04 02:36:20,True,750.0,0.2245,Medio-Bajo,parcial
Amazon,Alma Mora,179.0,0.24,22.0,750 ML,Tinto,No especificado,No especificado,Cabernet Sauvignon,https://www.amazon.com.mx/Vino-Tinto-Cabernet-Sauvignon-Alma/dp/B07G751FZP/ref=sr_1_56?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-56&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,2025-10-04 02:37:00,True,750.0,0.2387,Medio-Bajo,parcial
Amazon,BALERO - Media Botella Balero Elaborado con Uvas Merlot Grenache Marselan Contenido por botella: 375 mililitros Región: Baja California,197.0,0.53,,375000 ML,Tinto,México,No especificado,Cabernet Sauvignon,https://www.amazon.com.mx/BALERO-Elaborado-Sauvignon-mililitros-California/dp/B08Q4HQR16/ref=sr_1_20?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-20&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,2025-10-04 02:36:31,False,375000.0,0.0005,Medio-Bajo,completo
Amazon,Smirnoff Nº21 Vodka Origen Ruso Versátil Sabor Suave Puro y Seco Triple Destilación,202.3,289.0,30.0,1000 ML,No especificado,No especificado,No especificado,No especificado,https://www.amazon.com.mx/sspa/click?ie=UTF8&spc=MTo3OTM0NjI5OTc1MjY2MTYzOjE3NTk1NjY5NjY6c3BfYXRmOjMwMDkyMjU5MzI4NDAwMjo6MDo6&url=%2FSmirnoff-Vodka-1-L%2Fdp%2FB005J6LCMK%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw%26dib_tag%3Dse%26keywords%3Dvino%26qid%3D1759566966%26sr%3D8-4-spons%26ufe%3Dapp_do%253Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2025-10-04 02:36:14,True,1000.0,0.2023,Medio-Bajo,parcial
